City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,shalkar,48.3119,48.6945,28.13,25,86,5.08,KZ,1691884505
1,nadym,71.528,72.2121,7.19,78,97,4.66,RU,1691884506
2,tralee,52.3682,-9.6195,13.88,91,93,5.39,IE,1691884508
3,dazhong,33.0296,120.4355,28.84,78,0,2.25,CN,1691884508
4,dondaicha,21.3074,74.7034,25.06,80,97,5.98,IN,1691884508
5,kidal,21.02,-0.1768,34.44,22,5,4.14,DZ,1691884509
6,albu kamal,34.1218,40.8167,34.01,21,7,3.04,SY,1691884510
7,iqaluit,68.8284,-83.4417,18.71,31,92,1.12,CA,1691884510
8,calliope,-23.937,150.857,22.08,36,20,2.31,AU,1691884510
9,eregli,41.6931,31.1576,24.31,82,0,8.62,TR,1691884510
10,yellowknife,78.8312,-98.3956,0.89,98,100,2.29,CA,1691884511
11,la oroya,-11.5261,-75.8053,3.72,85,72,2.98,PE,1691884512
12,veshenskaya,49.8961,42.0127,20.25,72,11,3.59,RU,1691884513
13,hinton,53.3546,-118.0973,18.55,36,96,4.05,CA,1691884513
14,al muwayh,22.5937,41.8083,28.9,25,60,3.03,SA,1691884514
15,kerema,-7.8114,144.8136,24.45,83,99,5.21,PG,1691884514
16,santona,44.3962,-3.5468,20.41,66,93,2.89,ES,1691884515
17,ilulissat,71.0276,-48.6423,-1.09,79,97,6.26,GL,1691884515
18,smithers,56.426,-128.1026,9.06,94,100,2.66,CA,1691884516
19,qurayyat,31.647,37.753,32.69,15,42,4.38,SA,1691884516
20,rudnichnyy,59.9814,53.7037,13.08,79,1,0.86,RU,1691884516
21,alofi,-19.3126,-169.4066,23.4,86,100,8.82,NU,1691884516
22,aegina,36.7578,23.4072,26.02,62,0,9.79,GR,1691884517
23,edinburgh of the seven seas,-36.1552,-11.1292,9.93,63,100,10.02,SH,1691884518
24,washington court house,39.5747,-83.4469,28.14,62,40,4.12,US,1691884519
25,pahrump,36.112,-116.266,38.55,14,19,4.47,US,1691884520
26,nchelenge,-8.6044,27.6879,14.55,48,29,1.76,CD,1691884520
27,bethel,57.0835,-159.6976,11.56,85,100,8.96,US,1691884521
28,anantapur,14.7085,77.8555,24.87,72,99,5.98,IN,1691884521
29,san luis,-33.7139,-66.7635,12.49,30,25,4.55,AR,1691884522
30,kayenta,36.6163,-110.7992,25.55,27,67,7.79,US,1691884522
31,dame-marie,18.2258,-75.2719,29.02,77,80,3.02,HT,1691884523
32,berezovyy,54.8925,135.3445,13.43,90,100,5.83,RU,1691884523
33,douglas,42.5397,-105.6458,28.16,26,41,6.08,US,1691884524
34,kizel,59.2278,58.3923,10.29,77,3,0.46,RU,1691884524
35,ushuaia,-55.2549,-70.3604,3.94,77,99,5.01,AR,1691884525
36,tabriz,38.2733,46.2503,24.72,16,0,4.12,IR,1691884525
37,pangody,72.9045,74.1984,6.34,87,79,4.26,RU,1691884526
